T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
410,Republic of Korea,2016,Gross enrollement ratio - Primary (male),96.8970,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Gross enrollment ratio - Primary (female),97.0944,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Students enrolled in secondary education (thousands),"3,231.7950",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Gross enrollment ratio - Secondary (male),99.6777,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Gross enrollment ratio - Secondary (female),99.8208,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Students enrolled in tertiary education (thousands),"3,204.3480",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Gross enrollment ratio - Tertiary (male),104.6976,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
410,Republic of Korea,2016,Gross enrollment ratio - Tertiary (female),81.6581,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Students enrolled in primary education (thousands),184.1590,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Gross enrollement ratio - Primary (male),98.5532,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Gross enrollment ratio - Primary (female),97.1975,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Students enrolled in secondary education (thousands),394.4690,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Gross enrollment ratio - Secondary (male),86.2379,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Gross enrollment ratio - Secondary (female),89.9588,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Students enrolled in tertiary education (thousands),130.3500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Gross enrollment ratio - Tertiary (male),29.4639,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2005,Gross enrollment ratio - Tertiary (female),42.9046,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Students enrolled in primary education (thousands),141.1970,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Gross enrollement ratio - Primary (male),93.7246,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Gross enrollment ratio - Primary (female),93.3463,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Students enrolled in secondary education (thousands),307.6190,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Gross enrollment ratio - Secondary (male),86.9766,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Gross enrollment ratio - Secondary (female),89.0275,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Students enrolled in tertiary education (thousands),130.1680,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Gross enrollment ratio - Tertiary (male),32.7300,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2010,Gross enrollment ratio - Tertiary (female),43.7339,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Students enrolled in primary education (thousands),138.4200,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Gross enrollement ratio - Primary (male),93.2578,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Gross enrollment ratio - Primary (female),92.8593,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Students enrolled in secondary education (thousands),245.7730,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Gross enrollment ratio - Secondary (male),86.7810,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Gross enrollment ratio - Secondary (female),87.8893,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Students enrolled in tertiary education (thousands),116.3250,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Gross enrollment ratio - Tertiary (male),35.9200,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2014,Gross enrollment ratio - Tertiary (female),47.2774,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2015,Students enrolled in primary education (thousands),138.5360,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2015,Gross enrollement ratio - Primary (male),92.8668,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2015,Gross enrollment ratio - Primary (female),91.9316,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2015,Students enrolled in secondary education (thousands),233.2600,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2015,Gross enrollment ratio - Secondary (male),85.7712,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
498,Republic of Moldova,2015,Gross enrollment ratio - Secondary (female),86.4638,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
