T11,Expenditure on health,,,,,
858,Uruguay,2010,Domestic general government health expenditure (% of total government expenditure),16.9337,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2014,Domestic general government health expenditure (% of total government expenditure),18.4969,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2015,Domestic general government health expenditure (% of total government expenditure),19.0489,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
858,Uruguay,2016,Domestic general government health expenditure (% of total government expenditure),19.4929,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2000,Current health expenditure (% of GDP),5.3570,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2005,Current health expenditure (% of GDP),5.0390,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2010,Current health expenditure (% of GDP),5.3534,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2014,Current health expenditure (% of GDP),5.6760,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2015,Current health expenditure (% of GDP),6.0956,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2016,Current health expenditure (% of GDP),6.3352,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2000,Domestic general government health expenditure (% of total government expenditure),6.1087,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2005,Domestic general government health expenditure (% of total government expenditure),6.4677,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2010,Domestic general government health expenditure (% of total government expenditure),8.0394,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2014,Domestic general government health expenditure (% of total government expenditure),9.2610,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2015,Domestic general government health expenditure (% of total government expenditure),8.9725,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
860,Uzbekistan,2016,Domestic general government health expenditure (% of total government expenditure),9.2028,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2000,Current health expenditure (% of GDP),3.3043,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2005,Current health expenditure (% of GDP),3.3055,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2010,Current health expenditure (% of GDP),3.3752,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2014,Current health expenditure (% of GDP),3.4559,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2015,Current health expenditure (% of GDP),4.1532,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2016,Current health expenditure (% of GDP),3.6918,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2000,Domestic general government health expenditure (% of total government expenditure),9.7048,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2005,Domestic general government health expenditure (% of total government expenditure),11.6995,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2010,Domestic general government health expenditure (% of total government expenditure),6.8481,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2014,Domestic general government health expenditure (% of total government expenditure),1.9565,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2015,Domestic general government health expenditure (% of total government expenditure),4.8685,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
548,Vanuatu,2016,Domestic general government health expenditure (% of total government expenditure),5.3879,Government expenditures show fluctuations due to variations in capital investment.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
862,Venezuela (Boliv. Rep. of),2000,Current health expenditure (% of GDP),5.0030,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
862,Venezuela (Boliv. Rep. of),2005,Current health expenditure (% of GDP),4.8442,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
862,Venezuela (Boliv. Rep. of),2010,Current health expenditure (% of GDP),6.1211,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
862,Venezuela (Boliv. Rep. of),2014,Current health expenditure (% of GDP),5.7765,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
862,Venezuela (Boliv. Rep. of),2015,Current health expenditure (% of GDP),5.1289,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
862,Venezuela (Boliv. Rep. of),2016,Current health expenditure (% of GDP),3.2171,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
862,Venezuela (Boliv. Rep. of),2000,Domestic general government health expenditure (% of total government expenditure),6.4605,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
