T04,International migrants and refugees,,,,,
705,Slovenia,2010,Total population of concern to UNHCR (number),4554.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2015,International migrant stock: Both sexes (number),237616.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2015,International migrant stock: Both sexes (% total population),11.4525,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2015,International migrant stock: Male (% total Population),13.0629,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2015,International migrant stock: Female (% total Population),9.8671,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2015,Total refugees and people in refugee-like situations (number),283.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2015,"Asylum seekers, including pending cases (number)",43.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2015,Other of concern to UNHCR (number),4.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2015,Total population of concern to UNHCR (number),330.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2017,International migrant stock: Both sexes (number),244790.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2017,International migrant stock: Both sexes (% total population),11.7689,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2017,International migrant stock: Male (% total Population),13.3730,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2017,International migrant stock: Female (% total Population),10.1867,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
705,Slovenia,2017,Total refugees and people in refugee-like situations (number),551.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2017,"Asylum seekers, including pending cases (number)",326.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2017,Other of concern to UNHCR (number),4.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2017,Total population of concern to UNHCR (number),881.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2018,Total refugees and people in refugee-like situations (number),666.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2018,"Asylum seekers, including pending cases (number)",350.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2018,Other of concern to UNHCR (number),4.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
705,Slovenia,2018,Total population of concern to UNHCR (number),1020.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
90,Solomon Islands,2005,International migrant stock: Both sexes (number),3271.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2005,International migrant stock: Both sexes (% total population),0.6961,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2005,International migrant stock: Male (% total Population),0.7623,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2005,International migrant stock: Female (% total Population),0.6270,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2010,International migrant stock: Both sexes (number),2760.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2010,International migrant stock: Both sexes (% total population),0.5229,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2010,International migrant stock: Male (% total Population),0.5765,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2010,International migrant stock: Female (% total Population),0.4676,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2015,International migrant stock: Both sexes (number),2585.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2015,International migrant stock: Both sexes (% total population),0.4400,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2015,International migrant stock: Male (% total Population),0.4856,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2015,International migrant stock: Female (% total Population),0.3929,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
90,Solomon Islands,2015,Total refugees and people in refugee-like situations (number),3.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
90,Solomon Islands,2015,Total population of concern to UNHCR (number),3.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
90,Solomon Islands,2016,Total refugees and people in refugee-like situations (number),3.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
90,Solomon Islands,2016,Total population of concern to UNHCR (number),3.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
90,Solomon Islands,2017,International migrant stock: Both sexes (number),2532.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
