X26,Water supply and sanitation services,,,,,
694,Sierra Leone,2005,"Safely managed drinking water sources, total (Proportion of population with access)",5.8774,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.4604,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",5.5588,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",9.9527,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",11.4775,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",4.8082,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2010,"Safely managed drinking water sources, total (Proportion of population with access)",7.3996,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",18.6123,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",6.7076,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",11.3333,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",12.1226,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",8.3472,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2017,"Safely managed drinking water sources, total (Proportion of population with access)",9.9191,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.2721,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",8.4110,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
694,Sierra Leone,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",13.3495,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2005,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2017,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
702,Singapore,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
703,Slovakia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",94.7254,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
